Guid;Сегмент
95gcgc53;Отток
qc7cwb3q;Предотток
99eq3w15;Отток
9w7wb15w;Лояльные
4wb1q7q8;Предотток
gc16w946;Спящие
g74b3cw8;Лояльные
46ggb6gg;Предотток
e5d88d38;Отток
92w6qbw1;Отток
3c42ccb4;Отток
15c36ggd;Предотток
6311q77c;Отток
b6d6dg53;Лояльные
4g88w8wq;Отток
ww7gcbd8;Лояльные
1g129d25;Лояльные
5eeq5c7w;Отток
9q345qgq;Отток
4b4c4db5;Отток
31b744b8;Спящие
w2d26gwc;Спящие
wb982d8g;Отток
db331887;Лояльные
d5655727;Отток
28q385e2;Отток
55qqb715;Спящие
16c2edgc;Отток
cd473b1g;Спящие
77871q2c;Отток
21g3c294;Лояльные
717889b2;Отток
b4c43e3b;Лояльные
g1q9wqgd;Спящие
2c9g71bc;Лояльные
bdqgd324;Отток
e4egweqb;Отток
bdqgd337;Отток
4g2c312q;Предотток
w59d944e;Отток
qqe45397;Отток
1ew2b733;Отток
4234d73g;Предотток
c7q57612;Отток
w788qg63;Предотток
17qw5bdw;Предотток
wwqc611c;Предотток
581cq6cc;Предотток
533d6498;Отток
16q5dg4d;Отток
96d9g2g6;Отток
5561b36c;Отток
q95c1g62;Предотток
bc5364ww;Лояльные
4369ed76;Лояльные
e2c36gd7;Лояльные
738848b3;Отток
76b8cq19;Отток
269qdd7w;Спящие
g83w55c5;Предотток
67665d2c;Предотток
g4q885qd;Отток
q692q1c1;Отток
5w72832g;Лояльные
88gq1ecd;Лояльные
w5452q67;Лояльные
9781wg32;Предотток
9dwc8dqc;Предотток
4bqq8qq4;Отток
dgwq45wb;Отток
9b829e8e;Отток
1bc94755;Лояльные
q4q5982d;Предотток
g963b174;Отток
d13e7g3c;Отток
b6wq27d4;Отток
www1bg3c;Лояльные
8c63w93b;Лояльные
7318w5g8;Предотток
74cqq941;Отток
qg48396c;Отток
wd5w9w93;Спящие
ed8dwe26;Отток
3q94g397;Отток
6977e64e;Отток
q69cw36w;Отток
64gb2dbd;Отток
7e682457;Предотток
cb3958qb;Лояльные
w7qeqdg5;Лояльные
22eg8857;Предотток
wd888bbw;Лояльные
557d28g4;Отток
52b6db8q;Предотток
cbgc46eb;Отток
33wd6311;Отток
7c131qdc;Отток
b13456q7;Лояльные
2583eecd;Спящие
991444qq;Лояльные
35q4qqg9;Отток
2653w661;Предотток
q5e5e997;Отток
c176d7c6;Отток
g84wcc36;Лояльные
d9qed7w6;Отток
edw551gw;Отток
4e49qe91;Отток
wgw35237;Предотток
82geqd7w;Отток
6cb1q27q;Отток
w4d5g58g;Лояльные
c2e1g3g4;Отток
767we8e3;Спящие
2e7e8ge1;Спящие
w159cb69;Отток
gcdq13eg;Отток
42gdq1q8;Отток
141egg56;Лояльные
62gq2cqc;Отток
qc3gc24g;Лояльные
e5745c8g;Спящие
dg7c5b27;Лояльные
7c24c241;Предотток
8bbcgw4g;Лояльные
2g315e93;Лояльные
9ecqbbdb;Предотток
641qq2wc;Спящие
46e84e29;Предотток
94485qe4;Отток
7qe2ccb7;Отток
q6d3d319;Лояльные
979ce946;Предотток
738e85bb;Спящие
6g287118;Отток
wb5q54we;Спящие
87b4727q;Отток
4qwe8517;Предотток
qde7qcge;Лояльные
w7g4qdcc;Лояльные
dqc923ce;Лояльные
cwdqcc6q;Отток
5de46w89;Предотток
qd1761g7;Отток
c85gg476;Отток
689gd7wd;Лояльные
e6qdwc1e;Лояльные
388b8b5d;Спящие
c979d712;Лояльные
6qd745q3;Отток
6dgcq3d8;Отток
3de5956c;Предотток
1wg1683w;Отток
5e2w8c59;Отток
e21d951e;Отток
dw19w7c8;Отток
w98g1e23;Отток
db53d8bd;Предотток
gwc95746;Лояльные
e3q9e5cq;Спящие
egq3wc1d;Лояльные
gcw85b18;Отток
2gdq4215;Спящие
w582dw65;Спящие
16w7we5g;Лояльные
2e252461;Лояльные
2c2gq73c;Отток
be7q433e;Спящие
e11qgdde;Отток
5992bg86;Лояльные
3w3e3w2w;Предотток
2e13gc4e;Отток
8q52q523;Отток
e8857bgw;Отток
53b9955w;Предотток
q29w7qgc;Лояльные
g6bg21d2;Отток
9571e899;Предотток
ee2c2d21;Предотток
1wd8d4bb;Спящие
5qeb6214;Спящие
e1784242;Лояльные
4dg2d7w9;Отток
b217w55w;Лояльные
d4e29525;Лояльные
58799qe5;Спящие
578222qe;Отток
wc2c428e;Лояльные
cq4w21gb;Отток
9dd3g899;Предотток
55b79cq1;Предотток
4d78278b;Отток
82gdc6bg;Спящие
db9897c9;Спящие
b6dgq918;Спящие
159c7ceb;Отток
6788wedc;Отток
q9gw8q33;Отток
c2qc7eqc;Лояльные
95qw6396;Отток
b1bcee31;Спящие
5dc2c4g4;Лояльные
93388dwe;Предотток
q9759152;Спящие
96wec61q;Отток
gg8dg237;Предотток
bdq38c98;Лояльные
bdq9w48w;Отток
362dec36;Лояльные
46wwbwg1;Спящие
we57wc63;Отток
113426wd;Спящие
q26e9bqq;Отток
3cde5q2g;Спящие
1d3w371e;Отток
c29b74d8;Спящие
q569599d;Отток
qbce35q1;Предотток
23q93ge4;Предотток
e2de1366;Отток
4e372ww2;Отток
12ww33c3;Спящие
b56g929g;Отток
58bwq3d2;Предотток
7dbwg72q;Лояльные
e264g3q4;Предотток
e4dg5985;Отток
ee56e1c8;Предотток
g575e486;Спящие
g43wg832;Отток
145ewgwq;Предотток
ccw9g352;Предотток
d1dq1c36;Предотток
7e4d5295;Лояльные
c6q7594q;Отток
6qw7dqc9;Отток
48147b42;Спящие
b898gcd8;Предотток
bd11ew18;Предотток
c4q2ede5;Отток
b47e4b45;Отток
ee8ew71g;Предотток
g7b1q839;Предотток
46qcc529;Спящие
qg49bwg9;Отток
gcw85bge;Лояльные
g2q7d34g;Предотток
7q137wb8;Отток
7web85g7;Лояльные
b5gq5d39;Предотток
44482w3c;Спящие
5w8d1q28;Отток
eq6g62q9;Предотток
db8e1w6e;Лояльные
eg7289ee;Отток
1g4ec1c5;Предотток
b6geg1ge;Отток
6e1geq15;Лояльные
4384w7dd;Отток
57967qb6;Отток
w784628d;Спящие
qg2bg5eg;Отток
eecc5c4d;Отток
597qc8d1;Отток
q6d138wd;Лояльные
dbqgw7wg;Отток
qb4ecw5e;Спящие
q9c5w224;Лояльные
171gcqc7;Лояльные
g745g2w3;Отток
b89b1w7g;Отток
c9geq475;Предотток
cde6q61w;Спящие
cec16d71;Предотток
8345wcd9;Спящие
796bq47e;Лояльные
11q4q33e;Отток
e9b5q624;Предотток
2w66b413;Отток
74g641be;Лояльные
85152973;Лояльные
qbewec34;Отток
8cdqb79d;Лояльные
w86qdgew;Лояльные
95wc5w11;Предотток
6847wqeg;Отток
bg9e739c;Отток
d6eg9bb9;Отток
5333b7c9;Лояльные
3q2e4b1e;Предотток
9gg72456;Предотток
517e5b2d;Отток
1bdbg15e;Предотток
1d71d3d6;Отток
27788826;Отток
cbc3w8b3;Спящие
q3cc79g3;Отток
b1bd95cw;Лояльные
49gc4q8e;Отток
9q26wc8e;Предотток
2d776dw4;Отток
6119c998;Отток
d2w15259;Отток
561dw52e;Лояльные
63be5d62;Отток
c599c142;Отток
27g14b69;Отток
5b56d746;Спящие
q1wcq561;Лояльные
c7wb23wb;Отток
deq6g75e;Спящие
edqd8bg4;Спящие
5wb254w5;Лояльные
g18265d3;Спящие
749378e6;Предотток
7988w58q;Отток
g18265ec;Отток
qq2d14q5;Спящие
5422535w;Отток
33386119;Отток
36g28361;Предотток
qw6246cc;Лояльные
1gcgw2e2;Спящие
9b716bq9;Предотток
56qg3ec9;Предотток
w3q9c4cq;Отток
e2g4q2dq;Лояльные
6gb1qe3g;Спящие
36b88569;Отток
7g198q6e;Отток
4c85eec7;Лояльные
qgc7c328;Лояльные
cdcw1978;Отток
g9d13d43;Отток
b8b7w668;Лояльные
99q5q9b9;Отток
e5qbwq27;Спящие
w9cb9q69;Спящие
67wcgq67;Лояльные
38qq8q39;Отток
9cc2ge56;Отток
bd21wd5g;Лояльные
81w7eg28;Отток
5e42qbgc;Спящие
e7629cq8;Отток
wc76q542;Лояльные
49gq9e42;Предотток
6wq86b91;Лояльные
9cc2ge88;Спящие
9gq4e7w6;Отток
g1bwg614;Отток
cgw2w6w6;Отток
c72999qe;Отток
ge356311;Предотток
69q513eb;Отток
cw87wd89;Отток
4cg47bgc;Отток
68c29585;Отток
g9527225;Предотток
36q9778d;Лояльные
3b3c69q9;Лояльные
3w8d2b69;Спящие
e9be2352;Предотток
qbc4e21g;Спящие
3e93575g;Отток
793q1b84;Отток
3ce65g61;Лояльные
eqb8393c;Отток
636332gq;Спящие
e6gc292w;Отток
12134we9;Отток
bcq66q9b;Отток
34523426;Отток
678ec9q6;Спящие
g6e4g9bw;Отток
71bw54qe;Отток
b2de5q58;Спящие
517e5b88;Спящие
c6gc58gb;Отток
5297w63d;Отток
ecqd7ec1;Отток
qd23q9b3;Отток
69425d3e;Спящие
939ewqb3;Лояльные
9222c6qd;Предотток
8c1db3b9;Предотток
db3wwbg8;Лояльные
ew2cw428;Отток
6wqewc33;Отток
2e165wd1;Лояльные
w486bqb4;Отток
74b936d3;Лояльные
273bb5d3;Отток
7q38bcdc;Лояльные
9725924w;Спящие
g6ww6c4e;Отток
23b4w89b;Спящие
q26q57b1;Отток
e2q719cw;Отток
457g3c3e;Отток
431q8gcd;Отток
5q2697q1;Отток
w6cgg438;Отток
gb512577;Спящие
wg4g667d;Лояльные
9d1722cb;Спящие
1g1dc337;Отток
dgqwccq3;Предотток
ddc9ebdb;Предотток
78bece33;Лояльные
b8325553;Предотток
76955e9q;Предотток
21c4dq4g;Лояльные
19bb75bb;Отток
3d535g55;Лояльные
2676d6dw;Отток
e7454w6b;Предотток
b87d2wc3;Отток
w8g4cg36;Спящие
ebb52991;Спящие
13c85275;Спящие
qd12577b;Отток
86dqwdb5;Отток
g3w17wbg;Отток
6gbe6qwc;Предотток
9g482473;Отток
87b2q2b7;Отток
c4q447d4;Отток
g8166286;Лояльные
gb11wddd;Отток
521d5e4c;Предотток
qqw1536w;Предотток
cqg511bc;Отток
3761e1gw;Предотток
qbq15gc5;Спящие
ewc888b1;Отток
79dc7be9;Предотток
441w19w8;Отток
b9b876ge;Лояльные
2c328212;Лояльные
d7c1c4b6;Спящие
g68bg458;Отток
3qd3e5be;Отток
qegd46b7;Предотток
4d56cbde;Лояльные
819w3972;Отток
gde7143d;Отток
29g3ewcd;Отток
4561c42b;Спящие
q5e86c94;Отток
1gq792d3;Отток
7563wqgw;Лояльные
39d8w71d;Отток
9g66dq5b;Лояльные
28cb8c9e;Предотток
47937b6c;Отток
ccq238c2;Лояльные
cb766g79;Отток
w1q3d7ed;Спящие
785w776c;Отток
9548c36q;Отток
w9361q8b;Предотток
1c89dbgd;Спящие
5e4c34q4;Отток
466cqcgq;Отток
5135798q;Лояльные
b9qcc7wc;Предотток
7q4d13gq;Лояльные
9c1q68e4;Предотток
d95dew1d;Отток
ew3192bg;Спящие
4164986d;Отток
wqg5985e;Отток
7448wg97;Предотток
qe94471g;Отток
b7wgwbg5;Отток
c67be3ec;Лояльные
e4578e3w;Лояльные
7wdeqcg3;Отток
46w2g541;Спящие
q572bwwc;Предотток
wd21dqde;Отток
dwc81d67;Предотток
q882eg89;Предотток
7298b3q5;Отток
q732w4q6;Предотток
d5ww517b;Отток
3c345d95;Отток
3c94ccc2;Отток
983gd56e;Предотток
2115qg93;Отток
3c94ccd2;Отток
ccwg4w59;Спящие
w4dc4g6b;Предотток
1ww37gwc;Отток
d61wd2w9;Предотток
494g11c6;Отток
98ed29g8;Лояльные
we977w89;Лояльные
46wc1w73;Лояльные
63425eq9;Отток
w582dw54;Спящие
b6w4q9c6;Отток
8egq6q28;Лояльные
8gqd91de;Отток
gg2e2qg3;Отток
173eww18;Лояльные
969c4gbg;Отток
wdq1qb5e;Предотток
994gb51d;Спящие
cqc96q76;Лояльные
g7geg444;Спящие
be662cq5;Отток
w145b338;Спящие
11e33c66;Отток
w9qd6ec1;Предотток
489c877c;Лояльные
wqb196g5;Лояльные
3cq6beqw;Отток
3cq6beb3;Отток
4eb9g745;Отток
3be59b48;Спящие
5de5e136;Спящие
522623g5;Предотток
88qwe51g;Предотток
8w3dc7db;Спящие
w75c8788;Отток
36391be4;Отток
5c314wb4;Предотток
g1g117b6;Лояльные
q6q48ee7;Лояльные
862qcqqd;Лояльные
86c7249w;Отток
553c57qb;Отток
c88633e1;Отток
e1bgqcbd;Отток
7qw27q45;Лояльные
11c9w98w;Отток
4656gb69;Предотток
6w8263dc;Отток
e9bweqq5;Спящие
64q84g14;Отток
7c7ebd7d;Спящие
g7q53d6c;Отток
8w46gwqq;Лояльные
q97625ee;Лояльные
4w1g9277;Лояльные
w68w1718;Отток
73b69q72;Отток
6w51dbc4;Спящие
dwwwe1d9;Отток
d5dgegq2;Лояльные
13g93g6g;Отток
cwe44c4b;Отток
78d9b4e6;Отток
4c28g491;Отток
c5d4bg7e;Лояльные
ecw6e65g;Отток
55ebe41c;Отток
cg4q689q;Спящие
5g6q4112;Предотток
75g65d1w;Отток
667g318b;Отток
gqq3b877;Лояльные
6b541c24;Отток
9bec9856;Предотток
1qbw1w94;Лояльные
31875wg5;Спящие
q66e2111;Отток
3w5945q5;Спящие
899e33c8;Лояльные
21dee11b;Предотток
1gw57394;Предотток
c31281b1;Отток
88573cqc;Отток
26qq6ceg;Отток
e51b1q6w;Спящие
9qd2bqew;Отток
w7w7c9ee;Предотток
6739647w;Отток
q41w6c5c;Предотток
e67g9b3c;Спящие
3d19e2gq;Отток
7g4dqb4d;Отток
4587q8q8;Предотток
cwqg32c1;Предотток
d472qe81;Отток
6g7wb996;Спящие
d4292ed6;Отток
9768913c;Лояльные
4e8b4e43;Лояльные
cb2ewdw5;Лояльные
162e6q5g;Спящие
ce2gq71b;Спящие
2cqg48wg;Спящие
wed52qd6;Отток
86546wee;Отток
e21cwdec;Лояльные
d7ggb58b;Спящие
98q1441g;Отток
dg331374;Отток
9db61e21;Отток
cc735dg9;Отток
63qc7392;Спящие
72b5978g;Лояльные
788d1441;Спящие
e7g8bed9;Отток
4c3ge8q9;Лояльные
q117b5eq;Предотток
g8344c33;Отток
ed91d19w;Лояльные
36e8dqb4;Предотток
6c35ebw5;Предотток
62b465gc;Лояльные
4256717q;Лояльные
2e59w621;Предотток
b894b79b;Отток
5ccb7cg2;Отток
w3g4d9dc;Лояльные
w8721g2w;Отток
965418db;Предотток
891qg5b4;Отток
3c3c6362;Спящие
8c8e8678;Спящие
93388de6;Отток
w975g47q;Отток
ec55de8b;Отток
76955e89;Лояльные
c8d8dew7;Спящие
844dd5dg;Отток
beq2cdw6;Отток
dc976357;Лояльные
5d73c695;Предотток
gcdb94be;Предотток
2ebe892e;Отток
qq7qg52b;Лояльные
962279wb;Спящие
8349edb4;Отток
w9ccb8we;Отток
ce5c8gqc;Отток
b257gde8;Лояльные
bgebc2ee;Отток
4277c59w;Отток
819b4255;Спящие
2657ebee;Спящие
3q6b8349;Отток
917789ww;Отток
ewc5q2q1;Спящие
q4w232b8;Спящие
d3d15w47;Лояльные
ged9wqgd;Отток
e3wd13q8;Отток
dcbd872g;Отток
dg3dcd4b;Отток
q132243q;Предотток
c8w6e1dd;Отток
8q866w47;Отток
g1q9wb4g;Предотток
wc75ecqb;Отток
15g91c6w;Отток
2q4e9618;Отток
8dewdq65;Отток
3qqb9911;Предотток
cd4e9bb4;Предотток
2w4g3bg1;Спящие
b76gg9wg;Отток
wc12q343;Предотток
dd52wc99;Спящие
29w88cw1;Отток
dew2b863;Отток
qg6be5e9;Предотток
q9qe1db9;Отток
w3q42e41;Предотток
44wg447w;Отток
98e151eq;Отток
g55379d2;Отток
q28695w6;Предотток
1e8d5d98;Отток
e6378wgw;Предотток
g13gcwg2;Лояльные
bcww7db5;Предотток
9313w6ce;Спящие
28749gqq;Предотток
64bcbbq4;Лояльные
b4wq1d29;Предотток
5bqd19d9;Предотток
gbg777w8;Отток
445cwbec;Отток
d1b5cq1e;Отток
182w7e84;Лояльные
934e8314;Предотток
dqc555bq;Предотток
9ecqbc11;Спящие
b99d8bce;Предотток
d3bgw2qc;Отток
9e97176d;Отток
49qd6w4w;Отток
e41wd544;Отток
4c647g58;Отток
eb4qceb7;Лояльные
ee3eg153;Спящие
78cweq82;Предотток
4dce5g5g;Спящие
23qb6ce7;Предотток
w4qqq755;Отток
d86151d7;Спящие
4bw82216;Спящие
e7dw692d;Лояльные
9363g561;Отток
829weg1e;Отток
eg6568cg;Отток
9wb63847;Отток
we493g61;Лояльные
779eb453;Отток
w2252e11;Отток
cw6w5361;Предотток
q1b3c13w;Отток
48d162q6;Спящие
4485b312;Предотток
1eg36g78;Лояльные
5d19e2wg;Отток
w7e352ww;Предотток
5b488g22;Предотток
779dw726;Отток
4b26b1g8;Лояльные
9dc4eecc;Отток
9815wq3d;Отток
c2g21d9d;Спящие
qdwg31ee;Спящие
352wb32g;Отток
4w6w6545;Лояльные
56364218;Предотток
52771529;Отток
77d3ec67;Отток
bqc6w544;Отток
977d9187;Предотток
e7w86572;Отток
bb983d7c;Отток
2e1eqgc7;Отток
q42gc5qg;Отток
22cwe9cc;Спящие
2gw9q68w;Лояльные
523g14ew;Лояльные
1ec6e895;Отток
563cebq5;Отток
25gqqd8e;Спящие
255488d3;Отток
3w317895;Отток
367q6g6d;Спящие
ed691w5q;Отток
e263e77d;Отток
4gw58388;Спящие
3629dwcd;Спящие
457g67gc;Отток
qwddece8;Отток
41e5455d;Предотток
d61d4e3g;Спящие
c16g818c;Спящие
77b13dbq;Спящие
eg6qeedd;Отток
g439ge38;Отток
66dq658e;Предотток
c54bw6e9;Лояльные
91e8q5cb;Отток
8e11e5e6;Спящие
5q9b9645;Спящие
b3524qc4;Спящие
68461w57;Лояльные
wg1e335c;Отток
qqwdd7bc;Отток
39161e7d;Отток
5b86q4dw;Отток
9525b7d2;Лояльные
7d4cc56e;Лояльные
b61871e9;Отток
1q6579d4;Отток
8qw21be3;Отток
e634q668;Спящие
17c2wbdq;Отток
5ewb68e9;Отток
c6893bqq;Отток
9becbew1;Отток
ewe7e573;Отток
7b8qc56w;Предотток
73711625;Спящие
3q8w1b3w;Лояльные
c1881ebc;Отток
85cc32qw;Отток
e217qc9q;Лояльные
c54b5419;Предотток
g6cq91wd;Лояльные
22b44w94;Спящие
q54e8c99;Предотток
52g5b346;Предотток
q5b2w4bq;Предотток
9q794225;Отток
2cq2g68w;Предотток
6c69618c;Отток
cdqq5dbc;Предотток
447q1ggq;Лояльные
58c732q8;Лояльные
8dewqde7;Предотток
9c1dwgg6;Отток
2qb7c4gd;Спящие
d92656g7;Спящие
3wc4b4cw;Отток
w1bd517q;Отток
42gqddww;Спящие
